질문,예상답변
"프로세스와 스레드의 차이를 설명해주세요.","프로세스는 실행 중인 프로그램의 독립적인 메모리 공간 단위이고, 스레드는 프로세스 안에서 실행되는 작업 흐름입니다. 프로세스끼리는 메모리를 기본적으로 공유하지 않지만, 같은 프로세스의 스레드들은 코드, 데이터, 힙 영역을 공유합니다. 그래서 스레드는 생성과 전환 비용이 낮지만 동기화 문제가 생길 수 있습니다."
"멀티스레딩에서 동기화가 필요한 이유는 무엇인가요?","여러 스레드가 같은 자원에 동시에 접근하면 race condition이 발생할 수 있기 때문입니다. 예를 들어 공유 변수 값을 동시에 수정하면 예상과 다른 결과가 나올 수 있습니다. 이를 막기 위해 mutex, semaphore, synchronized block 같은 동기화 기법을 사용합니다."
"데드락이 무엇이고 발생 조건은 무엇인가요?","데드락은 둘 이상의 작업이 서로가 가진 자원을 기다리며 영원히 진행하지 못하는 상태입니다. 발생 조건은 상호 배제, 점유와 대기, 비선점, 순환 대기입니다. 이 중 하나라도 깨뜨리면 데드락을 예방할 수 있습니다."
"HTTP와 HTTPS의 차이를 설명해주세요.","HTTP는 평문으로 데이터를 주고받는 프로토콜이고, HTTPS는 HTTP 위에 TLS 암호화를 적용한 프로토콜입니다. HTTPS는 데이터 기밀성, 무결성, 서버 인증을 제공합니다. 그래서 로그인, 결제, 개인정보 전송처럼 보안이 필요한 서비스에서는 HTTPS가 필수입니다."
"TCP와 UDP의 차이를 설명해주세요.","TCP는 연결 지향 프로토콜로 순서 보장, 재전송, 흐름 제어, 혼잡 제어를 제공합니다. UDP는 비연결형 프로토콜로 신뢰성 보장은 약하지만 빠르고 오버헤드가 작습니다. 파일 전송이나 웹 요청에는 TCP가, 실시간 스트리밍이나 게임처럼 지연이 중요한 상황에는 UDP가 자주 사용됩니다."
"REST API의 특징을 설명해주세요.","REST API는 자원을 URI로 표현하고 HTTP 메서드로 행위를 표현하는 아키텍처 스타일입니다. GET, POST, PUT, PATCH, DELETE 같은 메서드를 사용해 자원에 대한 작업을 수행합니다. 무상태성을 지향해 서버가 클라이언트 세션 상태에 의존하지 않는 것이 특징입니다."
"GET과 POST의 차이를 설명해주세요.","GET은 주로 데이터를 조회할 때 사용하고 요청 파라미터가 URL에 노출됩니다. POST는 서버에 데이터를 생성하거나 처리 요청을 보낼 때 사용하며 본문에 데이터를 담습니다. GET은 캐싱과 공유에 유리하고, POST는 민감하거나 큰 데이터를 보낼 때 더 적합합니다."
"쿠키, 세션, 토큰의 차이를 설명해주세요.","쿠키는 브라우저에 저장되는 작은 데이터이고, 세션은 서버가 사용자 상태를 저장하고 세션 ID를 쿠키로 전달하는 방식입니다. 토큰은 인증 정보를 담은 문자열을 클라이언트가 보관하고 요청마다 전달하는 방식입니다. 세션은 서버 상태 관리가 필요하고, 토큰은 확장성이 좋지만 탈취 시 위험이 있어 만료와 저장 방식이 중요합니다."
"데이터베이스 인덱스가 무엇이고 장단점은 무엇인가요?","인덱스는 데이터베이스에서 조회 성능을 높이기 위한 자료구조입니다. 특정 컬럼 기준으로 빠르게 검색할 수 있지만, 추가 저장 공간이 필요하고 INSERT, UPDATE, DELETE 시 인덱스도 갱신해야 해서 쓰기 성능이 떨어질 수 있습니다. 따라서 조회 패턴과 카디널리티를 고려해 설계해야 합니다."
"트랜잭션의 ACID를 설명해주세요.","ACID는 원자성, 일관성, 격리성, 지속성을 의미합니다. 원자성은 작업이 모두 성공하거나 모두 실패해야 한다는 뜻이고, 일관성은 트랜잭션 전후 데이터 규칙이 유지되는 것입니다. 격리성은 동시에 실행되는 트랜잭션끼리 영향을 최소화하는 것이고, 지속성은 커밋된 결과가 영구 보존되는 것입니다."
